id,product_name,product_price,product_category,product_desc,product_subcat
1,Coffee Grinder,39.99,Kitchen,Burr coffee grinder for fresh ground coffee.,Coffee Equipment
2,Chocolate Chip Cookie Dough,5.49,Food - Baking,Ready-to-bake cookie dough packed with chocolate chips.,Mixes
3,Coconut Milk Yogurt,2.99,Food - Dairy Alternatives,Creamy yogurt made with coconut milk,Plant-Based Yogurt
4,Herbal Tea Sampler Box,29.99,Food,Assorted collection of herbal teas for relaxation and wellness.,Beverages
5,Multi-Port USB Hub,19.99,Electronics,USB hub for expanding ports on computers and laptops.,Computer Accessories
6,Spicy BBQ Sauce,3.99,Food - Condiments,A tangy and spicy BBQ sauce that's perfect for grilling.,Sauces
7,Avocados,1.5,Food - Produce,"Fresh, creamy avocados ideal for salads and guacamole.",Fruits
8,Hot Salsa,2.29,Food - Dips,Spicy salsa made with fresh ingredients.,Salsa/Dips
9,Thai Red Curry Paste,3.99,Food - Condiments,Spicy and flavorful curry paste for authentic Thai dishes.,Asian Condiments
10,Wireless Smart Plug,19.99,Smart Home,Control home appliances remotely using your smartphone app.,Home Accessories
11,Cat Scratching Post with Toys,44.99,Pets,Multi-level scratching post to keep your cat entertained.,Cat Furniture
12,Comfortable Jogger Pants,29.99,Clothing - Bottoms,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",Bottoms
13,Paprika,1.79,Food - Spices,Rich and sweet paprika spice for seasoning.,Dried Spices
14,BBQ Lentil Chips,3.49,Food - Snacks,Savory lentil chips with BBQ flavor,Healthy Snacks
15,Savory Oatmeal,2.49,Food - Breakfast,Oatmeal made with savory spices and vegetables.,Savory Breakfast Options
16,Pita Bread,2.99,Food - Bakery,"Soft pita bread, perfect for sandwiches or dips.",Breads
17,Basketball,29.99,Sports,Official size basketball for indoor and outdoor play.,Team Sports
18,Wireless Gaming Headset,89.99,Gaming,Comfortable headset with surround sound for immersive gaming.,Gaming Accessories
19,Wireless Gaming Mouse,39.99,Gaming,Ergonomic mouse designed for gamers with high DPI.,Gaming Accessories
20,Coconut Cream Pie Yogurt,1.99,Food - Dairy Alternatives,"Yogurt with the flavors of coconut cream pie, nice and indulgent.",Plant-Based Yogurt
21,French Bread,2.49,Food - Bakery,"Freshly baked French baguette, perfect for dipping.",Breads
22,Portable Air Pump,19.99,Outdoor,Compact pump ideal for inflating sports equipment or rafts.,Camping Equipment
23,Lentil Soup (canned),1.99,Food - Canned Goods,Hearty lentil soup for a quick meal.,Soups & Broths
24,Camping Chair with Cooler,49.99,Outdoor,Foldable chair equipped with a cooler pouch.,Camping Equipment
25,Asian Stir-Fry Kit,5.49,Food - Frozen Meals,Prepped vegetables and sauces for a quick Asian stir-fry meal.,Frozen Asian Meals
26,Comfortable Bed Pillow,24.99,Home,Supportive pillow designed for a good night's sleep.,Bedding & Linens
27,Ramen Noodles,0.99,Food - Pasta,Quick-cooking ramen for instant meals.,Noodles
28,Quinoa Salad,5.99,Food - Prepared Foods,"A nutritious quinoa salad with veggies and dressing, ready-to-eat.",Ready-to-Eat Meals
29,Craft Beer Mustard,3.99,Food - Condiments,Stone-ground mustard infused with craft beer for a gourmet touch.,Mustards
30,Memory Foam Pillow,39.99,Home,Ergonomic memory foam pillow for better sleep.,Bedding & Linens
31,Bluetooth Car Adapter,24.99,Automotive,Connect your phone to the car's audio system via Bluetooth.,Automotive Accessories
32,Raspberry Lemonade Mix,3.99,Food - Beverages,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer.",Drink Mixes
33,Black Bean Spaghetti,3.99,Food - Pasta,"High-protein pasta made from black beans, gluten-free.",Specialty Pasta
